doc_id,year,doc_name_short,doc_name
1599,2006,The Fit of the Implicit Cognition Paradi,The Fit of the Implicit Cognition Paradigm to Science Education Research An Exploratory Analysis
1600,2006,The Brain Implements Optimal Decision Ma,The Brain Implements Optimal Decision Making between Alternative Actions
1601,2006,Modeling Cross-Domain Causal Learning in,Modeling Cross-Domain Causal Learning in Preschoolers as Bayesian Inference
1602,2006,Simulation of Explicit and Implicit Cate,Simulation of Explicit and Implicit Category Learning Evidence for a Single Learning System
1603,2006,Can Exposure to Post-outcome Information,Can Exposure to Post-outcome Information Debias the Hindsight Bias
1604,2006,Complexity in Spatial Reasoning,Complexity in Spatial Reasoning
1605,2006,Object Naming and Later Lexical Developm,Object Naming and Later Lexical Development
1606,2006,Tools and Techniques for Quantitative an,Tools and Techniques for Quantitative and Predictive Cognitive Science
1607,2006,Impact of Epistemological Beliefs on Hyp,Impact of Epistemological Beliefs on Hypertext Learning A Pilot-Study
1608,2006,Deaf Readers Lack of Implicit-Prosody Ef,Deaf Readers Lack of Implicit-Prosody Effects
1609,2006,The Effect of Feedback and Financial Rew,The Effect of Feedback and Financial Reward on Human Performance Solving Secretary Problems
1610,2006,Generalizing from Simple Instances An Un,Generalizing from Simple Instances An Uncomplicated Lesson from Kids Learning Object Categories
1611,2006,Asymmetric Categorization in the Sequent,Asymmetric Categorization in the Sequential Auditory Domain
1612,2006,Dual Processes Mediate Discrimination an,Dual Processes Mediate Discrimination and Generalization in Humans
1613,2006,Is Time Going to Stand Hebrew and Englis,Is Time Going to Stand Hebrew and English Speakers Conceptions of Time
1614,2006,Lively Looks Priming Preschoolers Predic,Lively Looks Priming Preschoolers Predictions of Post-verbal Arguments during Online Sentence Processing
1615,2006,Using Phoneme Distributions to Discover ,Using Phoneme Distributions to Discover Words and Lexical Categories in Unsegmented Speech
1616,2006,Haptic Pictures Blindness and Tactile Be,Haptic Pictures Blindness and Tactile Beliefs Preliminary Analysis of a Case-Study
1617,2006,Interactions between Nouns and Verbs in ,Interactions between Nouns and Verbs in Interpreting Events
1618,2006,Cognitive Neuroendocrinology Risk Prefer,Cognitive Neuroendocrinology Risk Preference Changes Across the Menstrual Cycle
1619,2006,The Remnants of Insight,The Remnants of Insight
1620,2006,Lateral Inhibition Explains Savings in C,Lateral Inhibition Explains Savings in Conditioning and Extinction
1621,2006,A Cognitive Model of Surprise Judgments,A Cognitive Model of Surprise Judgments
1622,2006,Grounded Representations for Sensory-Mot,Grounded Representations for Sensory-Motor Learning A Linguistic Approach
1623,2006,What If Chinese Had Linguistic Markers f,What If Chinese Had Linguistic Markers for Counterfactual Conditionals Language and Thought Revisited
1624,2006,Detection of Emotions during Learning wi,Detection of Emotions during Learning with AutoTutor
1625,2006,Explanation in Category Learning,Explanation in Category Learning
1626,2006,Grounding Language in Descriptions of Sc,Grounding Language in Descriptions of Scenes
1627,2006,Object Substitution Masking When does Ma,Object Substitution Masking When does Mask Preview work
1628,2006,Differential Cue Salience Blocking and L,Differential Cue Salience Blocking and Learned Inattention
1629,2006,What We Can Learn from Causal Conditiona,What We Can Learn from Causal Conditional Reasoning about the Nave Understanding of Causality
1630,2006,On-line Interpretation of Scalar Quantif,On-line Interpretation of Scalar Quantifiers Insight into the Semantic-Pragmatics Interface
1631,2006,Situated Learning and Galperins Notion o,Situated Learning and Galperins Notion of Object-Oriented Activity
1632,2006,Multimodal Communication in Computer-Med,Multimodal Communication in Computer-Mediated Map Task Scenarios
1633,2006,Conceptual Change in Non-Euclidean Mathe,Conceptual Change in Non-Euclidean Mathematics
1634,2006,Does Implicit Metacognition Provide a To,Does Implicit Metacognition Provide a Tool for Self-Guided Learning in Preschool Children
1635,2006,An Embodied Approach to Cognitive System,An Embodied Approach to Cognitive Systems A Dynamic Neural Field Theory of Spatial Working Memory
1636,2006,Estimating Correlations and Reliabilitie,Estimating Correlations and Reliabilities of Implicit and Explicit Tests Using a Latent Variable Approach
1637,2006,Decomposing the Mean Using Distributiona,Decomposing the Mean Using Distributional Analyses to Provide a Detailed Description of Addition and Multiplication Latencies
1638,2006,The Role of Ambiguity in the Interpretat,The Role of Ambiguity in the Interpretation of Noun-Noun Compounds
1639,2006,Now where was I Examining the Perceptual,Now where was I Examining the Perceptual Processes while Resuming an Interrupted Task
1640,2006,Asymmetrical Analogical Transfer in Insi,Asymmetrical Analogical Transfer in Insight Problem Solving
1641,2006,Extended Perception,Extended Perception
1642,2006,Where is Causality,Where is Causality
1643,2006,Reasoning with Internal and External Rep,Reasoning with Internal and External Representations A Case Study with Expert Architects
1644,2006,Nonsense and Sensibility Inferring Unsee,Nonsense and Sensibility Inferring Unseen Possibilities
1645,2006,The Verb Mutability Effect Noun and Verb,The Verb Mutability Effect Noun and Verb Semantics in English and Japanese
1646,2006,Dual System Theories of Cognition Some I,Dual System Theories of Cognition Some Issues
1647,2006,Differences in Deference Essences and In,Differences in Deference Essences and Insights
1648,2006,Modeling Percentage Change of fMRI BOLD ,Modeling Percentage Change of fMRI BOLD Signal and Reaction Time of a Dual Task with a Queuing Network Modeling Approach
1649,2006,The Role of Similarity in Generalization,The Role of Similarity in Generalization
1650,2006,The Independence between the History of ,The Independence between the History of Usage of an Expression and Common Ground A processing account for pragmatic effects on comprehension
1651,2006,Some Problems with a Behavioristic Accou,Some Problems with a Behavioristic Account of Early Group Pretense
1652,2006,Classroom Based Reading Strategy Trainin,Classroom Based Reading Strategy Training Self-Explanation vs a Reading Control
1653,2006,Effects of Writing on Conceptual Coheren,Effects of Writing on Conceptual Coherence
1654,2006,Assigning Grade Levels to Textbooks Is I,Assigning Grade Levels to Textbooks Is It Just Readability
1655,2006,AutoTutor 3-D Simulations Analyzing User,AutoTutor 3-D Simulations Analyzing Users Actions and Learning Trends
1656,2006,Nonconvergent Dynamics and Cognitive Sys,Nonconvergent Dynamics and Cognitive Systems
1657,2006,Categorization Label Extension and Induc,Categorization Label Extension and Inductive Reasoning in Chinese and German Preschoolers Influence of a Classifier System and Universal Cognitive Constraints
1658,2006,Which Is More Probable-25  25 or 40  10 ,Which Is More Probable-25  25 or 40  10 Effect of the Distribution of Focal Outcomes on Gut-level Perception of Certainty
1659,2006,Modeling Causal Learning Using Bayesian ,Modeling Causal Learning Using Bayesian Generic Priors on Generative and Preventive Powers
1660,2006,A Microgenetic Study of the Conceptual D,A Microgenetic Study of the Conceptual Development of Inversion on MultiplicationDivision Inversion Problems
1661,2006,Are There Cross-Cultural Differences in ,Are There Cross-Cultural Differences in Reasoning
1662,2006,The Divergent-Reconvergent Model of Seri,The Divergent-Reconvergent Model of Serial Order Encoding and Retrieval
1663,2006,Using Numbers to Structure Space,Using Numbers to Structure Space
1664,2006,Variations in Language Use across Gender,Variations in Language Use across Gender Biological versus Sociological Theories
1665,2006,Effects of Causal Strength on Learning f,Effects of Causal Strength on Learning from Biased Sequences
1666,2006,Temporal Factorisation and the Dynamics ,Temporal Factorisation and the Dynamics of Cognitive Agent States
1667,2006,The Revision of Beliefs about Causes and,The Revision of Beliefs about Causes and Enabling Conditions
1668,2006,Using Child Utterances to Evaluate Synta,Using Child Utterances to Evaluate Syntax Acquisition Algorithms
1669,2006,The Influence of Structural Support on t,The Influence of Structural Support on the Evaluation of Analogical Inferences
1670,2006,Online Processing is Essential for Learn,Online Processing is Essential for Learning Understanding Fast Mapping and Word Learning in a Dynamic Connectionist Architecture
1671,2006,Gender Differences in Learning the SPSS-,Gender Differences in Learning the SPSS-Software
1672,2006,Effects of Concreteness on Representatio,Effects of Concreteness on Representation An Explanation for Differential Transfer
1673,2006,Inducing Low-level Schema Extraction wit,Inducing Low-level Schema Extraction with Artificial Suffixes
1674,2006,Effects of Role Exchange between Task-do,Effects of Role Exchange between Task-doing and Observing Others on Insight Problem-Solving
1675,2006,The Influence of Lexical Conceptual and ,The Influence of Lexical Conceptual and Planning Based Factors on Disfluency Production
1676,2006,Exploring the Relationship Between Pain ,Exploring the Relationship Between Pain and Perception
1677,2006,A Model of Dopamine and Uncertainty Usin,A Model of Dopamine and Uncertainty Using Temporal Difference
1678,2006,Words Mark the Nerds Computational Model,Words Mark the Nerds Computational Models of Personality Recognition through Language
1679,2006,Why Form-Meaning Mappings Are Not Entire,Why Form-Meaning Mappings Are Not Entirely Arbitrary in Language
1680,2006,Processing Semantic Ambiguity Different ,Processing Semantic Ambiguity Different Loci for Meanings and Senses
1681,2006,Induction in Children and Adults,Induction in Children and Adults
1682,2006,Learning Representations of Orthographic,Learning Representations of Orthographic Word Forms
1683,2006,Interactive Graphical Representations Su,Interactive Graphical Representations Support the Formulation of Sound Hypotheses in a Rule Discovery Task
1684,2006,Expertise Development in Clinical Psycho,Expertise Development in Clinical Psychology
1685,2006,Use of Cognitive Field Research Methods ,Use of Cognitive Field Research Methods to Investigate Cultural Groups The Case of Individual Decision Making in Middle Eastern Crowds
1686,2006,Multi-modal Cognitive Architectures A Pa,Multi-modal Cognitive Architectures A Partial Solution to the Frame Problem
1687,2006,How Many Rooms in an Octopus Apartment E,How Many Rooms in an Octopus Apartment Effects of Prosody on Conceptual Combination
1688,2006,Memory for Serial Order in Social Cognit,Memory for Serial Order in Social Cognition Does Order Matter When We Are Forming Impressions About Strangers
1689,2006,Human and Automated Indoor Route Instruc,Human and Automated Indoor Route Instruction Following
1690,2006,Visual Availability and Fixation Memory ,Visual Availability and Fixation Memory in Modeling Visual Search using the EPIC Architecture
1691,2006,Natural Scene Categorization from Conjun,Natural Scene Categorization from Conjunctions of Ecological Global Properties
1692,2006,Computational Modeling of the Combined E,Computational Modeling of the Combined Effects of Circadian Rhythm and Sleep Deprivation
1693,2006,On the Cost and Benefit of Taking it out,On the Cost and Benefit of Taking it out of Context Modeling the Inhibition Associated with Directed Forgetting
1694,2006,Cross-Cuing versus Self-CuingWhat Enhanc,Cross-Cuing versus Self-CuingWhat Enhances Performance in a Brainstorming Task
1695,2006,Shaping Time Conceptualizations of Time ,Shaping Time Conceptualizations of Time through Shape Metaphors
1696,2006,Analysis of Human-Human and Human-Comput,Analysis of Human-Human and Human-Computer Agent Interactions from the Viewpoint of Design of and Attribution to a Partner
1697,2006,Body Parts and the First 100 Verbs,Body Parts and the First 100 Verbs
1698,2006,Implicit Familiarity Regulates Person Pe,Implicit Familiarity Regulates Person Perception
1699,2006,How People Perceive Companies Personalit,How People Perceive Companies Personality Dimensions as Fundamentals
1700,2006,Making Implicit Assumptions Explicit in ,Making Implicit Assumptions Explicit in Verbal Insight Problem Solving
1701,2006,Context and the Processing of Discourse ,Context and the Processing of Discourse Priming and Genre Effects on Discourse Comprehension
1702,2006,Collaborative Impression Formation and R,Collaborative Impression Formation and Recall of Impression-relevant Information
1703,2006,Syntactic and Causal Constraints on the ,Syntactic and Causal Constraints on the Necessity of Conditional Inferences by Readers
1704,2006,A Temporal Signal Reveals Chunk Structur,A Temporal Signal Reveals Chunk Structure in the Writing of Word Phrases
1705,2006,Phonological Similarity Effects in Simpl,Phonological Similarity Effects in Simple and Complex Word Spans
1706,2006,Differentiating Animality from Agency To,Differentiating Animality from Agency Towards a Foundation for Cognition
1707,2006,Linear Separability and Manifestations o,Linear Separability and Manifestations of Abstract Category Structures
1708,2006,A Catalytic Theory of Embodied Mind,A Catalytic Theory of Embodied Mind
1709,2006,Cartesian Ideas and the First Cognitive ,Cartesian Ideas and the First Cognitive Revolution
1710,2006,65-Months-Olds Perception of Goal-Direct,65-Months-Olds Perception of Goal-Directed Animated Motion
1711,2007,Why Children Make Better Estimates of Fr,Why Children Make Better Estimates of Fractional Magnitude than Adults
1712,2007,Neural Responses to Structural Incongrue,Neural Responses to Structural Incongruencies in Language and Statistical Learning Point to Similar Underlying Mechanisms
1713,2007,Mental Time-Lines Follow Writing Directi,Mental Time-Lines Follow Writing Direction Comparing English and Hebrew Speakers
1714,2007,Expert-Novice Differences in Mammogram I,Expert-Novice Differences in Mammogram Interpretation
1715,2007,A Rational Analysis of Rule-based Concep,A Rational Analysis of Rule-based Concept Learning
1716,2007,What Determines the Acceptability of Deo,What Determines the Acceptability of Deontic Health and Safety Rules
1717,2007,Distributional Statistics and Thematic R,Distributional Statistics and Thematic Role Relationships
1718,2007,Communicative Ability in Schizophrenic P,Communicative Ability in Schizophrenic Patients Executive Function Theory of Mind and Mental Representations
1719,2007,Modeling Visual Classification using Bot,Modeling Visual Classification using Bottom-up and Top-down Fixation Selection
1720,2007,The Use of Spatial Cognition in Graph In,The Use of Spatial Cognition in Graph Interpretation
1721,2007,A Dynamic and Stochastic Theory of Choic,A Dynamic and Stochastic Theory of Choice Response Time and Confidence
1722,2007,A Qualitative Analysis of Expert-Expert ,A Qualitative Analysis of Expert-Expert Differences in Understanding Aquariums
1723,2007,Visual Lexical and Contextual Effects on,Visual Lexical and Contextual Effects on Word Identification of Korean
1724,2007,Measuring Mathematic Formula Writing Com,Measuring Mathematic Formula Writing Competence An Application of Graphical Protocol Analysis
1725,2007,Combining Perception and Experience in S,Combining Perception and Experience in Spatial Categorization
1726,2007,Testing Descriptive or Prescriptive Cond,Testing Descriptive or Prescriptive Conditionals and Differential Effects of Frequency Information
1727,2007,Cognitive Modeling of Analogy Events in ,Cognitive Modeling of Analogy Events in Physics Problem Solving From Examples
1728,2007,Meaning Matters In Childrens Plural Prod,Meaning Matters In Childrens Plural Productions
1729,2007,Attentional Highlighting as a Mechanism ,Attentional Highlighting as a Mechanism behind Early Word Learning
1730,2007,Grounding Symbol Structures in Space For,Grounding Symbol Structures in Space Formal Notations as Diagrams
1731,2007,On-line Reference Assignment for Anaphor,On-line Reference Assignment for Anaphoric and Non-Anaphoric Nouns A Unified Memory-Based Model in ACT-R
1732,2007,Translating From Perceptual to Cognitive,Translating From Perceptual to Cognitive Coding
1733,2007,Speed Accommodation in Context Context M,Speed Accommodation in Context Context Modulation of the Effect of Speech Rate on Response Speed
1734,2007,Thinking More Lowers Hand Waving Dual Ta,Thinking More Lowers Hand Waving Dual Task Damps Hand Movements During Mental Rotation
1735,2007,The Role of Gestures in Spatial Explanat,The Role of Gestures in Spatial Explanations Change in Spatial Perspective
1736,2007,Processing Function Words in Artificial ,Processing Function Words in Artificial Languages Effects of Function Word Presence and Perceptual Cues
1737,2007,A Unified Framework for Perception in Au,A Unified Framework for Perception in Autonomous Systems
1738,2007,Factors Mediating the Success of Observa,Factors Mediating the Success of Observation-based Problem Solving
1739,2007,Prosody Context and Thematic Fit Meet Ga,Prosody Context and Thematic Fit Meet Gapping The Interaction of Multiple Constraints in Spoken Sentence Comprehension
1740,2007,External Regulating Agents Adaptive Cont,External Regulating Agents Adaptive Content and Process Scaffolding The Key to Fostering Mental Model Development during Hypermedia Learning
1741,2007,Sources of Difficulty in Multi-Step Geom,Sources of Difficulty in Multi-Step Geometry Area Problems
1742,2007,Infants Rapidly Learn Words from Noisy D,Infants Rapidly Learn Words from Noisy Data via Cross-Situational Statistics
1743,2007,Normative Representation of Objects Evid,Normative Representation of Objects Evidence for an Ecological Bias in Object Perception and Memory
1744,2007,Are Eye Movements Involved in Cued Targe,Are Eye Movements Involved in Cued Target Recall from Repeating Spatial Contexts
1745,2007,Sketching Musical Compositions,Sketching Musical Compositions
1746,2007,Assessing Student Self-Explanations in a,Assessing Student Self-Explanations in an Intelligent Tutoring System
1747,2007,Modeling Navigation in Degree-of-Interes,Modeling Navigation in Degree-of-Interest Trees
1748,2007,Simulating Conceptually-Guided Perceptua,Simulating Conceptually-Guided Perceptual Learning
1749,2007,Posture as a Predictor of Learners Affec,Posture as a Predictor of Learners Affective Engagement
1750,2007,Shifting Categories An Exemplar-based Co,Shifting Categories An Exemplar-based Computational Model of Chain Shifts
1751,2007,Can Language be Replaced Physical Repres,Can Language be Replaced Physical Representations of Relations Instead of Language Labels in Relational Mapping Do They Help Young Children
1752,2007,What is the Trouble with Transfer,What is the Trouble with Transfer
1753,2007,A Process Analysis of Idea Generation an,A Process Analysis of Idea Generation and Failure
1754,2007,The Effect of Training Context on Fixati,The Effect of Training Context on Fixations Made During Visual Discriminations
1755,2007,A Computational Account of the Developme,A Computational Account of the Development of the Generalization of Shape Information
1756,2007,Cognitive Reflection the Premature Tempe,Cognitive Reflection the Premature Temperature Convergence Hypothesis
1757,2007,Analogy with Qualitative Spatial Represe,Analogy with Qualitative Spatial Representations Can Simulate Solving Ravens Progressive Matrices
1758,2007,Strategies for Orientation The Role of 3,Strategies for Orientation The Role of 3D Landmark Salience and Map Alignment
1759,2007,Ethical System Formalization using Non-M,Ethical System Formalization using Non-Monotonic Logics
1760,2007,Seeing is Believing Priors Trust and Bas,Seeing is Believing Priors Trust and Base Rate Neglect
1761,2007,The Role of Spatial Information in Refer,The Role of Spatial Information in Referential Communication Speaker and Addressee Preferences for Disambiguating Objects
1762,2007,How are Repeated Items Encoded in Workin,How are Repeated Items Encoded in Working Memory
1763,2007,Cognitive Robotics Enactive Perception a,Cognitive Robotics Enactive Perception and Learning in the Real World
1764,2007,Attentional Capture by Meaning a Multi-l,Attentional Capture by Meaning a Multi-level Modeling Study
1765,2007,Social Reflex Hypothesis on Blinking Int,Social Reflex Hypothesis on Blinking Interaction
1766,2007,Penetrating the Geometric Module Catalyz,Penetrating the Geometric Module Catalyzing Childrens Use of Landmarks
1767,2007,Priming and Conservation Between Spatial,Priming and Conservation Between Spatial and Cognitive Search
1768,2007,Salience Based Hierarchical Spatial Repr,Salience Based Hierarchical Spatial Representations
1769,2007,Facial Features for Affective State Dete,Facial Features for Affective State Detection in Learning Environments
1770,2007,Task Influences on Category Learning,Task Influences on Category Learning
1771,2007,Rules and Exemplars in Categorization A ,Rules and Exemplars in Categorization A Computational Exploration
1772,2007,Can an AI System Facilitate Human Creati,Can an AI System Facilitate Human Creative Generation An Experimental Investigation in Mathematical Problem Posing
1773,2007,Comparing Semantic Space Models Using Ch,Comparing Semantic Space Models Using Child-directed Speech
1774,2007,Against Sequence Priming Evidence from C,Against Sequence Priming Evidence from Constituents and Distituents in Corpus Data
1775,2007,Numeral Classifiers in Specific Counting,Numeral Classifiers in Specific Counting Systems Cultural Context Linguistic Principles and Cognitive Implications
1776,2007,Modeling Human Performance in Statistica,Modeling Human Performance in Statistical Word Segmentation
1777,2007,Characterizing Motherese On the Computat,Characterizing Motherese On the Computational Structure of Child-Directed Language
1778,2007,Peer Instruction as a Way of Promoting S,Peer Instruction as a Way of Promoting Spontaneous Use of Diagrams When Solving Math Word Problems
1779,2007,Retelling Narratives as Fiction or Nonfi,Retelling Narratives as Fiction or Nonfiction
1780,2007,Learning Causal Structure from Reasoning,Learning Causal Structure from Reasoning
1781,2007,The FaCT System A New Tool Linking Cogni,The FaCT System A New Tool Linking Cognitive Science with Educators
1782,2007,Weighing the Evidence Childrens Nave The,Weighing the Evidence Childrens Nave Theories of Balance Affect Their Exploratory Play
1783,2007,Cognitive Control as Alternation of Acti,Cognitive Control as Alternation of Activation and Suppression in a Stroop Task
1784,2007,Evaluating the Contribution of Intra-Lin,Evaluating the Contribution of Intra-Linguistic and Extra-Linguistic Data to the Structure of Human Semantic Representations
1785,2007,Recognition of Pictures May Not Require ,Recognition of Pictures May Not Require Central Attentional Resources
1786,2007,A Study on Creativity in Comparison with,A Study on Creativity in Comparison with Linguistic Interpretation Process
1787,2007,Physics is Harder than PsychologyOr Is I,Physics is Harder than PsychologyOr Is It Developmental Differences in Calibration of Domain-Specific Texts
1788,2007,Using Computational Text Analysis Tools ,Using Computational Text Analysis Tools to Compare the Lyrics of Suicidal and Non-Suicidal Songwriters
1789,2007,Verbal Ability and Structured Navigation,Verbal Ability and Structured Navigation on Learning with Hypertext
1790,2007,Indirect Evidence and the Poverty of the,Indirect Evidence and the Poverty of the Stimulus The Case of Anaphoric One
1791,2007,Reuniting Categories Language and Percep,Reuniting Categories Language and Perception
1792,2007,Anger in a Just World The Impact of Cult,Anger in a Just World The Impact of Cultural Concepts on Cognition and Emotion
1793,2007,The Alignment of Ordering and Space in A,The Alignment of Ordering and Space in Arithmetic Computation
1794,2007,Analyzing Human Tutorial Dialogues for C,Analyzing Human Tutorial Dialogues for Cohesion and Coherence During Hypermedia Learning of a Complex Science Topic
1795,2007,Learning Grounded Causal Models,Learning Grounded Causal Models
1796,2007,Towards a Unified Exemplar-Theoretic Mod,Towards a Unified Exemplar-Theoretic Model of Phonetic and Syntactic Phenomena
1797,2007,Heuristics in Multi-attribute Decision M,Heuristics in Multi-attribute Decision Making Effects of Representation Format
1798,2007,Unraveling the Time-course of Perceptual,Unraveling the Time-course of Perceptual Categorization Does Fastest Mean First
1799,2007,Casual Models and Cognitive Representati,Casual Models and Cognitive Representations in Multiple Cue Judgment
1800,2007,The Representation of Judgment Heuristic,The Representation of Judgment Heuristics and the Generality Problem
1801,2007,When Skunks are Similar to Giraffes and ,When Skunks are Similar to Giraffes and When They Are Not Grammatical Gender Effects on Bilingual Cognition
1802,2007,Using Instructions in Procedural Tasks,Using Instructions in Procedural Tasks
1803,2007,Mental Mechanisms Autonomous Systems and,Mental Mechanisms Autonomous Systems and Moral Agency
1804,2007,How Chromaticity Guides Visual Search in,How Chromaticity Guides Visual Search in Real-World Scenes
1805,2007,The Foundations of Numeracy Subitizing F,The Foundations of Numeracy Subitizing Finger Gnosia and Fine Motor Ability
1806,2007,Self-explaining in the Classroom Learnin,Self-explaining in the Classroom Learning Curve Evidence
1807,2007,Do Image Enhancement Functions Really En,Do Image Enhancement Functions Really Enhance X-Ray Image Interpretation
1808,2007,Application of Voting Geometry to Multia,Application of Voting Geometry to Multialternative Choice
1809,2007,Mondrian Eye Movements and the Oblique E,Mondrian Eye Movements and the Oblique Effect
1810,2007,Efficacy of Bias Awareness in Debiasing ,Efficacy of Bias Awareness in Debiasing Oil and Gas Judgments
1811,2007,Group Problem Solving Behavior in a Netw,Group Problem Solving Behavior in a Networked Puzzle Game
1812,2007,Do Ducks Lay Eggs How People Interpret G,Do Ducks Lay Eggs How People Interpret Generic Assertions
1813,2007,The Optimal Cognitive Template of Minima,The Optimal Cognitive Template of Minimally Counterintuitive Narratives
1814,2007,Inferring Properties when Categorization,Inferring Properties when Categorization is Uncertain A Feature-Conjunction Account
1815,2007,Signs and Maps  Cognitive Economy in the,Signs and Maps  Cognitive Economy in the Use of External Aids for Indoor Navigation
1816,2007,Using Interpolation Regions to Discrimin,Using Interpolation Regions to Discriminate Models of Function Learning
1817,2007,Behaviorism Reborn Statistical Learning ,Behaviorism Reborn Statistical Learning as Simple Conditioning
1818,2007,Deciding the Price of Fame,Deciding the Price of Fame
1819,2007,Complex Acoustic Pattern Learning in Son,Complex Acoustic Pattern Learning in Songbirds and Humans
1820,2007,Reversal of the Alignment Effect Influen,Reversal of the Alignment Effect Influence of Visualization and Spatial Set Size
1821,2007,Nonverbal Behaviors in Cooperative Work ,Nonverbal Behaviors in Cooperative Work A Case Study of Successful and Unsuccessful Team
1822,2007,Sources of Difficulty in Imagining Cross,Sources of Difficulty in Imagining Cross Sections of 3D Objects
1823,2007,A Connectionist Model of Attitude Streng,A Connectionist Model of Attitude Strength and Change
1824,2007,Social Facilitation Effects of Virtual H,Social Facilitation Effects of Virtual Humans
1825,2007,Information Pooling and Processing in Gr,Information Pooling and Processing in Group Problem Solving Analysis and Promotion of Collaborative Inferences from Distributed Information
1826,2007,Difference in Action Tendencies Distingu,Difference in Action Tendencies Distinguish Anger and Sadness after Comprehension of Emotional Sentences
1827,2007,Adjusting the Spanner Testing an Evidenc,Adjusting the Spanner Testing an Evidence Accumulation Model of Decision Making
1828,2007,Investigating Training and Transfer Effe,Investigating Training and Transfer Effects Resulting from Recurrent CBT of X-Ray Image Interpretation
1829,2007,A Subsymbolic Model of Language Patholog,A Subsymbolic Model of Language Pathology in Schizophrenia
1830,2007,The Activation of Hypotheses during Abdu,The Activation of Hypotheses during Abductive Reasoning
1831,2007,Using LSA Semantic Fields to Predict Eye,Using LSA Semantic Fields to Predict Eye Movement on Web Pages
1832,2007,Psychological Reality of Grammars Devitt,Psychological Reality of Grammars Devitts Ignorance of Language
1833,2007,Integrating iSTART into a High School Cu,Integrating iSTART into a High School Curriculum
1834,2007,How Language Affects Thought in a Connec,How Language Affects Thought in a Connectionist Model
1835,2007,A Multimodal Paradigm for Investigating ,A Multimodal Paradigm for Investigating the Perisaccadic Temporal Inversion Effect in Vision
1836,2007,Understanding Decrements in Knowledge Ac,Understanding Decrements in Knowledge Access Resulting from Increased Fatigue
1837,2007,Goal Inference as Inverse Planning,Goal Inference as Inverse Planning
1838,2007,Toward a More Textual as Opposed to Conc,Toward a More Textual as Opposed to Conceptual Approach to Metaphor Research A case study of How to Cook a Husband
1839,2007,The Object-Relation Continuum in Languag,The Object-Relation Continuum in Language
1840,2007,A Rational Account of the Perceptual Mag,A Rational Account of the Perceptual Magnet Effect
1841,2007,A Theoretical Model of Behavioral Shapin,A Theoretical Model of Behavioral Shaping
1842,2007,Where Syllogistic Reasoning Happens An A,Where Syllogistic Reasoning Happens An Argument for the Extended Mind Hypothesis
1843,2007,Bayesian Models of Judgments of Causal S,Bayesian Models of Judgments of Causal Strength A Comparison
1844,2007,Computational Modeling of Mood and Feeli,Computational Modeling of Mood and Feeling from Emotion
1845,2007,To Teach by Concept or by Procedure Maki,To Teach by Concept or by Procedure Making the Most of Self-Explanations
1846,2007,Incremental Process of Musical Key Ident,Incremental Process of Musical Key Identification
1847,2007,Learning the Structure of a Mathematical,Learning the Structure of a Mathematical Group
1848,2007,Why Externalism is Not Part of Cognitive,Why Externalism is Not Part of Cognitive Science
1849,2007,What Did That 25 Million Ad Buy Us Cogni,What Did That 25 Million Ad Buy Us Cognitive Science Goes to the Super Bowl
1850,2007,Modeling Cognitive Dissonance Using a Re,Modeling Cognitive Dissonance Using a Recurrent Neural Network Model with Learning
1851,2007,Social Influence and Bounded Rationality,Social Influence and Bounded Rationality Heuristic Decision Making in Complex Networks
1852,2007,Agents and Affordances Listeners Look fo,Agents and Affordances Listeners Look for What They Dont Hear
1853,2007,Extending Statistical Learning Farther a,Extending Statistical Learning Farther and Further Long-Distance Dependencies and Individual Differences in Statistical Learning and Language
1854,2007,Ordering Worked Examples to Promote Cate,Ordering Worked Examples to Promote Categorization
1855,2007,Phonological Similarity Effects Without ,Phonological Similarity Effects Without a Phonological Store An Individual Differences Model
1856,2007,Investigating Childrens Eye-Movements Ca,Investigating Childrens Eye-Movements Cause or Effect of Reversing Ambiguous Figures
1857,2007,The Interaction of Strategy Use and Expe,The Interaction of Strategy Use and Experience in Intuitive and Analytical Problem Solving
1858,2007,Blocking and Learned Attention in Langua,Blocking and Learned Attention in Language Acquisition
1859,2007,Syllables Morphemes and Bayesian Computa,Syllables Morphemes and Bayesian Computational Models of Acquiring a Word Grammar
1860,2007,Changing Explanations in the Face of Ano,Changing Explanations in the Face of Anomalous Data in Abductive Reasoning
1861,2007,Childrens Online Processing of Complex S,Childrens Online Processing of Complex Sentences New Evidence from a New Technique
1862,2007,Surprise in the Learning of Color Words,Surprise in the Learning of Color Words
1863,2007,Four Theories of Amodal Perception,Four Theories of Amodal Perception
1864,2007,Incorporating Connotation of Meaning int,Incorporating Connotation of Meaning into Models of Semantic Representation An Application in Text Corpus Analysis
1865,2007,Are Seven Words All We Need Recognizing ,Are Seven Words All We Need Recognizing Genre at the Sub-Sentential Level
1866,2007,Learning Causal Schemata,Learning Causal Schemata
1867,2007,Issues in Reasoning about Iffy Propositi,Issues in Reasoning about Iffy Propositions The Interpretation of Conditionals
1868,2007,Evidence for Dumb Local-to-Global Integr,Evidence for Dumb Local-to-Global Integration in Childrens Judgments about Motion
1869,2007,Providing Guidance and Opportunities for,Providing Guidance and Opportunities for Self-Assessment and Transfer in a Simulation Environment for Discovery Learning
1870,2007,Effects of Fact Mutability in the Interp,Effects of Fact Mutability in the Interpretation of Counterfactuals
